task_id,difficulty,base_public,candidate_public,base_hidden,candidate_hidden,hidden_delta,score_delta,tool_delta,patch_delta,wall_time_delta,base_failure,candidate_failure,retry_status
top_k_words,medium,0/5,5/5,0/5,5/5,5,86.0,3.0,0.0,7.58,no_test_run,none,completed
word_frequency,easy,3/5,5/5,3/5,5/5,2,32.0,0.0,1.2,-0.06,none,none,-
config_records_parser,medium,3/5,4/5,3/5,4/5,1,17.6,0.0,4.2,9.16,none,none,diagnosis_failed
config_defaults,medium,0/5,5/5,0/5,0/5,0,43.13,2.8,16.6,7.55,no_test_run,hidden_test_failed,completed
parse_bool_flag,easy,0/5,4/5,0/5,0/5,0,38.6,3.0,0.0,7.2,no_test_run,hidden_test_failed,completed
template_renderer,hard,0/5,0/5,0/5,0/5,0,21.73,2.4,1.2,6.13,no_test_run,test_failure,candidate_rejected
dependency_order,hard,0/5,0/5,0/5,0/5,0,21.42,3.0,0.0,7.39,no_test_run,test_failure,candidate_rejected
record_deduplicator,hard,0/5,0/5,0/5,0/5,0,21.42,3.0,0.0,8.5,no_test_run,test_failure,candidate_rejected
csv_row_parser,medium,0/5,0/5,0/5,0/5,0,21.0,3.0,0.0,7.53,no_test_run,test_failure,candidate_rejected
merge_intervals,easy,0/5,0/5,0/5,0/5,0,20.86,3.2,1.4,8.39,no_test_run,test_failure,candidate_rejected
slugify_title,easy,0/5,0/5,0/5,0/5,0,15.66,5.6,0.0,13.15,no_test_run,test_failure,candidate_rejected
rolling_rate_limit,hard,0/5,0/5,0/5,0/5,0,12.9,4.0,0.0,10.94,syntax_error,syntax_error,candidate_rejected
multi_file_config_service,hard,0/5,0/5,0/5,0/5,0,4.89,4.0,0.0,10.44,no_test_run,repeated_tool_call,candidate_rejected
bubble_sort_order,easy,5/5,5/5,5/5,5/5,0,0.0,0.0,0.0,-1.62,none,none,-
clamp_values,easy,5/5,5/5,5/5,5/5,0,0.0,0.0,0.0,-0.02,none,none,-
date_window,medium,5/5,5/5,5/5,5/5,0,0.0,0.0,0.0,0.11,none,none,-
log_level_parser,medium,5/5,5/5,0/5,0/5,0,0.0,0.0,0.0,0.07,no_test_run,no_test_run,-
path_validator,medium,5/5,5/5,5/5,5/5,0,0.0,0.0,0.0,0.1,none,none,-
token_bucket,medium,5/5,5/5,5/5,5/5,0,0.0,0.0,0.2,0.11,none,none,-
retry_delay,easy,5/5,5/5,1/5,0/5,-1,-9.6,0.0,0.0,0.0,no_test_run,no_test_run,-
